ID Score    
Q96C86 2.323561462691535e+91
P62857 2.3231081814891242e+91
Q16629 2.3175152393911704e+91
Q9Y5B9 2.310091139772533e+91
Q9UNE7 2.2995671147109333e+91
Q9Y2X3 2.297386273672822e+91
P31040 2.2891940105905558e+91
P62979 2.2887976941556323e+91
Q15287 2.2869061784397205e+91
Q9NZI8 2.261655736608128e+91
Q99873 2.255868291258528e+91
Q6PKG0 2.2461014698758157e+91
P23528 2.2400681498353576e+91
Q9UKB1 2.216672817009007e+91
O95433 2.2121886215793464e+91
Q14204 2.206234889474427e+91
P67870 2.195549831297573e+91
Q9BVP2 2.1913941360462304e+91
P16403 2.1753188782946565e+91
P25205 2.1745626925170083e+91
P36957 2.168246798192605e+91
P62937 2.1680041791466423e+91
Q9UNP9 2.1493458025254612e+91
Q13813 2.1491445412511922e+91
P31947 2.1409670496295504e+91
P00338 2.1348327176574957e+91
P68366 2.1205844592289895e+91
Q16659 2.1124438434811827e+91
P09661 2.110798148652319e+91
P50897 2.08990704245216e+91
P61326 2.088438245516346e+91
O95817 2.0868420835519696e+91
Q15050 2.0819297873579123e+91
P47897 2.075614697436426e+91
P63208 2.0714170717288675e+91
Q96EA4 2.0704535860046776e+91
P55036 2.0608086369675542e+91
Q01081 2.0582511635518255e+91
Q07666 2.0473459248476582e+91
Q9GZR7 2.0407810838779043e+91
P14923 2.04026146110177e+91
P62140 2.0343144961666056e+91
P41252 2.022573485640594e+91
P23588 2.0208645869556506e+91
P45880 2.017056890870173e+91
P00441 2.01154566551411e+91
Q9Y383 2.0070795589864505e+91
Q8IYB3 2.0011061165751974e+91
P55084 1.9838685462580015e+91
P31942 1.9827561914156103e+91
Q9UQE7 1.975343647324735e+91
P17980 1.9719495345039616e+91
Q7L5N1 1.9674853313011722e+91
P36542 1.959956036140118e+91
P35998 1.945382396631177e+91
Q86U44 1.944870603581442e+91
P05455 1.940656307680732e+91
Q9P2J5 1.9289621753760037e+91
O60341 1.9215509733062368e+91
Q15366 1.921011504567106e+91
Q96SB4 1.9132396061271444e+91
Q9NVP1 1.910726239693739e+91
O00425 1.9093803155148836e+91
O60264 1.9058756071879903e+91
Q969H0 1.8988824245722505e+91
Q99848 1.8974263963013875e+91
P51858 1.88744171709147e+91
Q9Y297 1.886701957569143e+91
Q13627 1.883852822954112e+91
P63220 1.8737995505139784e+91
P49207 1.8725817183877495e+91
O60884 1.871906275978452e+91
Q14152 1.8696165696742956e+91
P67775 1.8682118348466786e+91
P60033 1.868135794264903e+91
Q9UKM9 1.862251384269401e+91
Q9UHX1 1.8610338100458595e+91
P22695 1.860912350422881e+91
Q9Y3I0 1.859709416222353e+91
P01375 1.8479465022531112e+91
Q16666 1.8470329138755533e+91
Q7L2E3 1.8468336390936753e+91
P07237 1.8451448746868406e+91
O94906 1.8434635331546233e+91
Q9BZE4 1.8395087242198473e+91
Q8IY81 1.8368172154012595e+91
P53621 1.8358779224404756e+91
P07355 1.821674946973932e+91
P61221 1.8102341887116386e+91
P07195 1.8003134079142397e+91
Q92945 1.7990833590599927e+91
Q92793 1.795569113875075e+91
O95714 1.7863249104160752e+91
O43242 1.7854669970979376e+91
O75400 1.7689855749412323e+91
P49792 1.7632164047830347e+91
Q05086 1.7578592985330462e+91
