ID	Score  
P30048	125.0
Q16630	125.0
P35249	125.0
O95373	125.0
Q9H4L4	124.0
P31942	124.0
Q13535	124.0
Q9NVI7	124.0
Q15047	124.0
P10909	124.0
Q05639	124.0
P51114	124.0
P19012	124.0
Q53EZ4	124.0
P25963	124.0
P61604	124.0
P07954	124.0
P30260	124.0
Q92542	123.0
P33176	123.0
Q6R327	123.0
P15056	123.0
Q99814	123.0
Q9Y3I0	123.0
P26358	123.0
P37173	123.0
Q9NYL9	123.0
Q9NPD3	123.0
P45984	123.0
Q66GS9	123.0
Q9BPW8	123.0
O95684	123.0
P04264	123.0
Q15648	123.0
Q14966	122.0
Q99615	122.0
O94822	122.0
Q9NYF8	122.0
Q00535	122.0
Q9GZQ8	122.0
P51531	122.0
Q7L2E3	122.0
P19525	122.0
Q96EZ8	122.0
Q9BZZ5	122.0
P37802	122.0
Q6UY14	122.0
Q9NQ55	122.0
Q9HC77	121.0
O75928	121.0
Q92830	121.0
Q96CS2	121.0
O94888	121.0
P50454	121.0
Q07065	121.0
O60504	121.0
Q9UGI0	121.0
P62873	121.0
Q13330	121.0
Q15811	121.0
Q13155	121.0
O15372	121.0
Q8WXW3	120.0
P54646	120.0
Q5VU43	120.0
P55884	120.0
Q9Y3E5	120.0
O75934	120.0
P39656	120.0
P19387	120.0
Q9BT78	119.0
Q8WV44	119.0
O43684	119.0
Q9ULT8	119.0
Q15436	119.0
P49207	119.0
Q14008	119.0
P15924	119.0
Q8NHV4	119.0
Q9H0M0	119.0
Q9Y618	118.0
P46109	118.0
P53992	118.0
P46734	118.0
Q00613	118.0
Q14257	118.0
P43364	118.0
Q96LA8	118.0
P49720	118.0
Q9BSI4	117.0
P35580	117.0
Q9H944	117.0
Q9NZM5	117.0
Q8WYQ5	117.0
Q9BVJ6	117.0
Q9GZM8	117.0
Q15185	117.0
Q96MT8	117.0
Q9H0U4	117.0
P28072	117.0
Q15797	117.0
Q9Y5S9	116.0
P56192	116.0
P04083	116.0
P05556	116.0
Q15834	116.0
P30304	116.0
O75558	115.0
Q06330	115.0
Q9BSM1	115.0
O75306	115.0
Q9HC98	115.0
Q02750	115.0
Q96DB2	115.0
O00217	115.0
P04899	115.0
P29084	115.0
Q8TEQ6	115.0
Q96EY1	115.0
P02649	115.0
O60934	115.0
O95365	115.0
Q14318	115.0
A5YKK6	114.0
Q9Y5J3	114.0
Q9Y4B6	114.0
P11586	114.0
Q08J23	114.0
Q13451	114.0
P26367	114.0
P37198	114.0
Q3ZCQ8	114.0
P06702	114.0
Q13347	114.0
O95619	114.0
O75787	113.0
P52565	113.0
Q8WYA6	113.0
P40937	113.0
O60381	113.0
O60885	113.0
P43405	113.0
P49790	113.0
O15360	113.0
O95429	113.0
Q9NX63	112.0
Q7KZI7	112.0
Q13503	112.0
P17706	112.0
O95835	112.0
P20248	112.0
P06239	112.0
Q16827	112.0
P62308	112.0
P04233	112.0
P30307	112.0
O60729	112.0
Q07157	112.0
Q969T4	112.0
Q9H4P4	111.0
Q9Y6G9	111.0
O43159	111.0
Q15014	111.0
Q15560	111.0
Q5SSJ5	111.0
Q9H0F6	111.0
Q9H0A0	111.0
P54136	111.0
Q86XR8	110.0
Q9Y2X8	110.0
O75955	110.0
O00459	110.0
Q12797	110.0
Q9NY93	110.0
P63162	110.0
Q14108	110.0
Q16777	110.0
Q16623	110.0
P53041	110.0
Q8N5N7	110.0
P51970	110.0
Q9NQC3	110.0
O95425	110.0
Q9Y6Q9	109.0
Q6NYC1	109.0
Q9HD26	109.0
P29597	109.0
P53355	109.0
Q9H9D4	109.0
P37108	109.0
P20073	109.0
P62487	109.0
Q04724	109.0
Q8N1F7	109.0
O60244	109.0
P48556	109.0
Q8NI27	109.0
Q8N684	109.0
P05198	109.0
Q13107	109.0
Q6Y7W6	108.0
Q9UJS0	108.0
Q9NX58	108.0
P10415	108.0
P41250	108.0
Q9Y3F4	108.0
P38432	108.0
Q9UNF1	108.0
Q53GS9	108.0
O15169	108.0
P51572	108.0
Q5T4S7	108.0
Q9BZL6	108.0
Q8N1B4	108.0
P13804	108.0
Q14684	108.0
P25685	108.0
P30305	108.0
Q92569	107.0
Q96PU4	107.0
Q9Y3M2	107.0
Q9Y3C5	107.0
P53396	107.0
P09211	107.0
P49023	107.0
Q9UNS2	107.0
Q9UNQ2	107.0
P51398	107.0
O94905	107.0
P20042	107.0
P17096	107.0
P07384	107.0
P23284	107.0
P78318	107.0
Q15788	107.0
P04040	107.0
P62736	107.0
P54259	107.0
Q6ZUT1	107.0
Q86Y82	106.0
Q92552	106.0
Q13635	106.0
Q9H257	106.0
O75436	106.0
Q96EP5	106.0
Q5TB80	106.0
O43251	106.0
Q16181	106.0
Q01813	106.0
Q15562	106.0
P61086	106.0
P12270	106.0
Q96I36	106.0
Q8IV63	106.0
P51955	106.0
P60660	105.0
Q2TAC2	105.0
Q5JTH9	105.0
P67936	105.0
Q14872	105.0
O94979	105.0
P61158	105.0
P12277	105.0
Q15424	105.0
Q15291	105.0
P82675	105.0
P83916	105.0
Q6PD62	105.0
